"name","genres","director","actor1","actor2","actor3","color","plotkey","language","year","score"
"Desert Dancer ","Biography|Drama","Richard Raymond","Tom Cullen","Reece Ritchie","Marama Corlett","Color","dance|dancer|dancing|desert|iran","English",2014,6
"Creepshow 2 ","Comedy|Fantasy|Horror|Thriller","Michael Gornick","George Kennedy","Holt McCallany","Dorothy Lamour","Color","anthology|hit and run|hit by a car|living statue|melting woman","English",1987,6
"Kama Sutra: A Tale of Love ","Crime|Drama|History|Romance","Mira Nair","Indira Varma","Sarita Choudhury","Rekha","Color","courtesan|friend|kama sutra|seduction|wedding","English",1996,6
"The Gambler ","Crime|Drama|Thriller","Rupert Wyatt","George Kennedy","Cjon Saulsberry","Griffin Cleveland","Color","dog|gambler|gambling|gangster|professor","English",2014,6
"Beer League ","Comedy|Sport","Frank Sebastiano","Joe Lo Truglio","Laurie Metcalf","Seymour Cassel","Color","baseball|baseball movie|beer|slacker|softball","English",2006,6
"Jack Brooks: Monster Slayer ","Action|Comedy|Horror","Jon Knautz","Rachel Skarsten","Daniel Kash","Stefanie Drummond","Color","cult film|demon|monster slayer|uncle|vomiting","English",2007,6
"Circle ","Drama|Horror|Mystery|Sci-Fi|Thriller","Aaron Hann","Jordi Vilasuso","Michael McLafferty","Kaiwi Lyman-Mersereau","Color","alien abduction|debate|lesbian|pregnant|spaceship","English",2015,6
"The Torture Chamber of Dr. Sadism ","Horror|Mystery","Harald Reinl","Christopher Lee","Lex Barker","Karin Dor","Color","count|drawn and quartered|tied up|torture chamber|torture device","German",1967,6
"Forty Shades of Blue ","Drama|Music|Romance","Ira Sachs","Rip Torn","Jenny O'Hara","Darren E. Burrows","Color","love|music producer|previous marriage|rock 'n' roll|russian","English",2005,6
"Home Run ","Drama|Sport","David Boyd","Vivica A. Fox","Drew Waters","Scott Elrod","Color","addiction|alcoholic|baseball|car accident|reference to god","English",2013,6
"Blue Like Jazz ","Comedy|Drama","Steve Taylor","Jason Marsden","Marshall Allman","Eric Lange","Color","church|college|color in title|philosophy|texas","English",2012,6
"Godzilla 2000 ","Action|Adventure|Drama|Sci-Fi|Thriller","Takao Okawara","Hiroshi Abe","Naomi Nishida","Sakae Kimura","Color","godzilla|kaiju|monster|orga|ufo","Japanese",1999,6
"The Specials ","Action|Comedy|Fantasy|Sci-Fi","Craig Mazin","Judy Greer","James Gunn","Jamie Kennedy","Color","action figure|press conference|superhero|superhero team|toy","English",2000,6
"Ask Me Anything ","Drama","Allison Burnett","Kimberly Williams-Paisley","Gia Mantegna","Cathryn de Prume","Color","bare breasts|female protagonist","English",2014,6
"For a Good Time, Call... ","Comedy","Jamie Travis","James Wolk","Ari Graynor","Nia Vardalos","Color","friend|friendship|gay|phone sex|sex","English",2012,6
"The R.M. ","Comedy|Crime|Family","Kurt Hale","Kirby Heyborne","Big Budah","Curt Doussett","Color","latter day saints|missionary|pickup truck|police|video camera","English",2003,6
"Never Again ","Comedy|Romance","Eric Schaeffer","Peter Dinklage","Bill Duke","Michael McKean","Color","bar|gay bar|love|mother son relationship|new york","English",2001,6
"Show Me ","Drama|Thriller","Cassandra Nicolaou","Katharine Isabelle","Michelle Nolden","Gabriel Hogan","Color","bathtub|implied incest|lesbian|squeegee|tied to a chair","French",2004,6
"Baghead ","Comedy|Drama|Horror|Romance","Jay Duplass","Greta Gerwig","Jennifer Lafleur","Elise Muller","Color","actor|cabin|california|paper bag|vomiting","English",2008,6
"Counting ","Documentary","Jem Cohen","","","","Color","city|city symphony|diary|essay|surveillance","English",2015,6
"Superman Returns ","Action|Adventure|Sci-Fi","Bryan Singer","Kevin Spacey","Marlon Brando","Frank Langella","Color","crystal|epic|lex luthor|lois lane|return to earth","English",2006,6.1
"The Golden Compass ","Adventure|Family|Fantasy","Chris Weitz","Christopher Lee","Eva Green","Kristin Scott Thomas","Color","children|epic|friend|girl|quest","English",2007,6.1
"Waterworld ","Action|Adventure|Sci-Fi|Thriller","Kevin Reynolds","Jeanne Tripplehorn","Rick Aviles","Zakes Mokae","Color","future|sail|sea|smoker|water","English",1995,6.1
"Snow White and the Huntsman ","Action|Adventure|Drama|Fantasy","Rupert Sanders","Chris Hemsworth","Kristen Stewart","Sam Claflin","Color","evil queen|fairy tale|magic|queen|snow white","English",2012,6.1
"The Sorcerer's Apprentice ","Action|Adventure|Family|Fantasy","Jon Turteltaub","Nicolas Cage","Omar Benson Miller","Robert Capron","Color","chosen one|enchanted object|love|spell|training","English",2010,6.1
"Shrek the Third ","Adventure|Animation|Comedy|Family|Fantasy","Chris Miller","Justin Timberlake","Eric Idle","Rupert Everett","Color","disney spoof|fairy tale|prince|princess|tough guy","English",2007,6.1
"Pearl Harbor ","Action|Drama|History|Romance|War","Michael Bay","Jennifer Garner","Jaime King","Mako"," Black and White","air raid|black smoke|japanese military|japanese navy|sunday","English",2001,6.1
"Die Another Day ","Action|Adventure|Thriller","Lee Tamahori","Toby Stephens","Colin Salmon","Rick Yune"," Black and White","catfight|clinic|colonel|diamond|patricide","English",2002,6.1
"Men in Black II ","Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi","Barry Sonnenfeld","Will Smith","Rosario Dawson","Rip Torn","Color","alien|lingerie|lingerie model|m.i.b.|pug","English",2002,6.1
"Fun with Dick and Jane ","Comedy|Crime","Dean Parisot","John Michael Higgins","Richard Burgi","David Herman","Color","animal abuse|ceo|heist|suburb|unemployment","English",2005,6.1
"Exodus: Gods and Kings ","Action|Adventure|Drama","Ridley Scott","Christian Bale","María Valverde","Ben Mendelsohn","Color","egypt|exodus|moses|pharaoh|plague","English",2014,6.1
"Mission: Impossible II ","Action|Adventure|Thriller","John Woo","Tom Cruise","Dougray Scott","Richard Roxburgh","Color","cure|mission|terrorist|thief|virus","English",2000,6.1
"Speed Racer ","Action|Family|Sport","Lana Wachowski","Scott Porter","Kick Gurry","Nicholas Elia","Color","based on anime|based on cartoon|gadget car|racer|speed","English",2008,6.1
"The Huntsman: Winter's War ","Action|Adventure|Drama|Fantasy","Cedric Nicolas-Troyan","Chris Hemsworth","Sam Claflin","Charlize Theron","Color","based on fairy tale|dark fantasy|fairy tale|second part|sequel","English",2016,6.1
"San Andreas ","Action|Adventure|Drama|Thriller","Brad Peyton","Dwayne Johnson","Ioan Gruffudd","Archie Panjabi","Color","disaster movie|earthquake|journey|natural disaster|san andreas fault","English",2015,6.1
"Eraser ","Action|Drama|Mystery|Thriller","Chuck Russell","Vanessa Williams","James Coburn","Roma Maffia","Color","assassination attempt|corporate crime|rogue agent|witness|witness protection program","English",1996,6.1
"The Expendables 3 ","Action|Adventure|Thriller","Patrick Hughes","Jason Statham","Sylvester Stallone","Harrison Ford","Color","battle|fight|mission|pg 13 sequel to r rated franchise|rescue","English",2014,6.1
"Ben-Hur ","Adventure|Drama|History","Timur Bekmambetov","Morgan Freeman","Ayelet Zurer","Moises Arias","Color","","English",2016,6.1
"The Devil's Own ","Action|Crime|Drama|Thriller","Alan J. Pakula","Harrison Ford","Brad Pitt","Natascha McElhone","Color","friendship|murder|northern ireland|police officer|terrorist","English",1997,6.1
"Jumper ","Action|Adventure|Sci-Fi|Thriller","Doug Liman","Kristen Stewart","Hayden Christensen","Tom Hulce","Color","bank|based on novel|ice|teleportation|vault","English",2008,6.1
"Deep Impact ","Action|Drama|Romance|Sci-Fi|Thriller","Mimi Leder","Morgan Freeman","Jon Favreau","Robert Duvall","Color","astronomer|comet|mission|president|secretary","English",1998,6.1
"Bedtime Stories ","Comedy|Family|Fantasy|Romance","Adam Shankman","Adam Sandler","Carmen Electra","Kathryn Joosten","Color","2000s|bedtime story|elephant|handyman|tween girl","English",2008,6.1
"Immortals ","Action|Drama|Fantasy|Romance","Tarsem Singh","Henry Cavill","Daniel Sharman","Steve Byers","Color","burned alive|castration|olympus|torture|torture device","English",2011,6.1
"Flight of the Phoenix ","Action|Adventure|Drama|Thriller","John Moore","Dennis Quaid","Tony Curran","Miranda Otto","Color","captain|desert|rescue|stranded|survivor","English",2004,6.1
"Sucker Punch ","Action|Fantasy","Zack Snyder","Jon Hamm","Abbie Cornish","Scott Glenn","Color","alternate reality|escape|girl gang|prostitution|samurai","English",2011,6.1
"The Monuments Men ","Drama|War","George Clooney","Bill Murray","Matt Damon","Bob Balaban","Color","art|art expert|nazi stolen art|soldier|world war two","English",2014,6.1
"Sky Captain and the World of Tomorrow ","Action|Adventure|Mystery|Sci-Fi|Thriller","Kerry Conran","Angelina Jolie Pitt","Laurence Olivier","Bai Ling","Color","captain|pilot|reporter|robot|scientist","English",2004,6.1
"The Kid ","Comedy|Family|Fantasy","Jon Turteltaub","Bruce Willis","Lily Tomlin","Daniel von Bargen","Color","altering history|cartoon on tv|childhood|image consultant|one two combo","English",2000,6.1
"Zathura: A Space Adventure ","Action|Adventure|Comedy|Family|Fantasy|Sci-Fi","Jon Favreau","Kristen Stewart","Josh Hutcherson","Jonah Bobo","Color","2000s|coke|meeting future self|reference to spongebob squarepants|sony","English",2005,6.1
"Dragon Blade ","Action|Adventure|Drama|History","Daniel Lee","Si Won Choi","Peng Lin","Sung-jun Yoo","Color","child fugitive|final battle|martial art|silk road|sword","Mandarin",2015,6.1
"Two Weeks Notice ","Comedy|Romance","Marc Lawrence","Dorian Missick","Alicia Witt","Dana Ivey","Color","developer|divorce|lawyer|love|new york city","English",2002,6.1
"Starsky & Hutch ","Comedy|Crime","Todd Phillips","Snoop Dogg","Carmen Electra","Fred Williamson","Color","cocaine|cop|criminal|partner|police","English",2004,6.1
"Up Close & Personal ","Drama|Romance","Jon Avnet","Joe Mantegna","Stockard Channing","Raymond Cruz","Color","journalism|news anchor|newscast|newscaster|tv journalism","English",1996,6.1
"The Tale of Despereaux ","Adventure|Animation|Comedy|Family|Fantasy","Sam Fell","Emma Watson","Matthew Broderick","Frank Langella","Color","book|darkness|dungeon|princess|rat","English",2008,6.1
"Practical Magic ","Comedy|Drama|Fantasy|Romance","Griffin Dunne","Goran Visnjic","Dianne Wiest","Stockard Channing","Color","curse|death|island|love|magic","English",1998,6.1
"The Sentinel ","Action|Crime|Thriller","Clark Johnson","Blair Brown","David Rasche","Martin Donovan","Color","first lady|framed|investigation|president|secret service","English",2006,6.1
"Planet 51 ","Adventure|Animation|Comedy|Family|Sci-Fi","Jorge Blanco","Dwayne Johnson","Gary Oldman","James Corden","Color","alien|alien planet|astronaut|planet|teenager","English",2009,6.1
"Mercury Rising ","Action|Crime|Drama|Thriller","Harold Becker","Bruce Willis","Miko Hughes","Carrie Preston","Color","autistic child|boy|child in danger|fbi|nsa","English",1998,6.1
"Dragonfly ","Drama|Fantasy|Mystery|Romance|Thriller","Tom Shadyac","Joe Morton","Susanna Thompson","Matt Craven","Color","death|doctor|grave|patient|venezuela","English",2002,6.1
"Edtv ","Comedy|Drama","Ron Howard","Matthew McConaughey","Adam Goldberg","Clint Howard","Color","female removes her clothes|one word title|producer|television|video store","English",1999,6.1
"Inkheart ","Adventure|Family|Fantasy","Iain Softley","Brendan Fraser","Stephen Graham","Jamie Foreman","Color","book|escape|girl|overalls|villain","English",2008,6.1
"Daddy's Home ","Comedy|Family","Sean Anders","Will Ferrell","Linda Cardellini","Mark L. Young","Color","biological father|dad|drinking|product placement|wilhelm scream","English",2015,6.1
"Hansel & Gretel: Witch Hunters ","Action|Fantasy|Horror","Tommy Wirkola","Jeremy Renner","Derek Mears","Ingrid Bolsø Berdal","Color","bounty hunter|brother sister team|death of loved one|hansel and gretel|supernatural power","English",2013,6.1
"I Am Number Four ","Action|Adventure|Sci-Fi|Thriller","D.J. Caruso","Alex Pettyfer","Emily Wickersham","Reuben Langdon","Color","based on young adult novel|good versus evil|guardian|human alien|ohio","English",2011,6.1
"Murder by Numbers ","Crime|Mystery|Thriller","Barbet Schroeder","Ryan Gosling","Chris Penn","Agnes Bruckner","Color","disposing of a dead body|high school student|murder|sociopath|teenage boy","English",2002,6.1
"Dick Tracy ","Action|Comedy|Crime|Music|Romance|Thriller","Warren Beatty","Charlie Korsmo","Warren Beatty","Seymour Cassel","Color","crime boss|detective|dick tracy|gangster|orphan","English",1990,6.1
"Johnny English ","Action|Adventure|Comedy","Peter Howitt","Kevin McNally","Natalie Imbruglia","Ben Miller","Color","british|crown jewels|explosion|funeral|spy","English",2003,6.1
"15 Minutes ","Action|Crime|Drama|Thriller","John Herzfeld","Robert De Niro","Charlize Theron","Kelsey Grammer","Color","criminal|detective|fire|homicide|media","English",2001,6.1
"The Mexican ","Adventure|Comedy|Crime|Romance","Gore Verbinski","J.K. Simmons","Brad Pitt","Julia Roberts","Color","curse|hostage|mexico|pistol|vomiting","English",2001,6.1
"Shall We Dance ","Comedy|Drama|Romance","Peter Chelsom","Lisa Ann Walter","Nick Cannon","Omar Benson Miller","Color","dance|dance competition|dance lesson|love|teacher","English",2004,6.1
"Small Soldiers ","Action|Adventure|Comedy|Family|Sci-Fi","Joe Dante","Kirsten Dunst","Denis Leary","Robert Picardo","Color","action figure|battle|computer|military|toy","English",1998,6.1
"A Million Ways to Die in the West ","Comedy|Western","Seth MacFarlane","Liam Neeson","Charlize Theron","Seth MacFarlane","Color","dancing sheep|fetish|musical scene|racial humor|snake poison","English",2014,6.1
"Renaissance Man ","Comedy|Drama","Penny Marshall","Ed Begley Jr.","Cliff Robertson","Lillo Brancato","Color","army|basic training|reference to shakespeare's hamlet|teacher|u.s. army","English",1994,6.1
"Sweet Home Alabama ","Comedy|Romance","Andy Tennant","Ethan Embry","Mary Lynn Rajskub","Courtney Gains","Color","alabama|divorce|divorce papers|husband wife relationship|new york city","English",2002,6.1
"Extreme Measures ","Crime|Drama|Mystery|Thriller","Michael Apted","J.K. Simmons","Paul Guilfoyle","Bill Nunn","Color","cartoon on tv|doctor|emergency room|hospital|nudity","English",1996,6.1
"How to Be Single ","Comedy|Romance","Christian Ditter","Alison Brie","Damon Wayans Jr.","Nicholas Braun","Color","motor scooter|new york city|newborn baby|scooter|single","English",2016,6.1
"A Man Apart ","Action|Crime|Drama|Thriller","F. Gary Gray","Vin Diesel","Jeff Kober","Larenz Tate","Color","bust|dea|drug cartel|justice|tragic hero","English",2003,6.1
"Heist ","Action|Crime|Thriller","Scott Mann","Robert De Niro","Joshua Mikel","D.B. Sweeney","Color","bus|die hard scenario","English",2015,6.1
"Nanny McPhee Returns ","Comedy|Family|Fantasy","Susanna White","Daniel Mays","Bill Bailey","Eros Vlahos","Color","farm|magic|mother daughter relationship|overalls|title directed by female","English",2010,6.1
"The Good German ","Drama|Mystery|Thriller","Steven Soderbergh","Tony Curran","Beau Bridges","Leland Orser"," Black and White","american|driver|journalist|russian|secret","English",2006,6.1
"Vacation ","Adventure|Comedy","John Francis Daley","Chris Hemsworth","Norman Reedus","Beverly D'Angelo","Color","amusement park|dysfunctional family|road trip|sequel|vacation","English",2015,6.1
"27 Dresses ","Comedy|Romance","Anne Fletcher","Judy Greer","Bern Cohen","Yetta Gottesman","Color","boss|bridesmaid|friend|love|wedding","English",2008,6.1
"Rugrats in Paris: The Movie ","Adventure|Animation|Comedy|Family|Romance","Stig Bergqvist","Elizabeth Daily","Casey Kasem","Debbie Reynolds","Color","amusement park|baby|france|paris france|villain","English",2000,6.1
"13 Going on 30 ","Comedy|Fantasy|Romance","Gary Winick","Jennifer Garner","Judy Greer","Christa B. Allen","Color","13 year old|13th birthday|30 year old|wish|year 1987","English",2004,6.1
"Message in a Bottle ","Drama|Romance","Luis Mandoki","Robin Wright","John Savage","Raphael Sbarge","Color","beach|bottle|jogging|letter|love","English",1999,6.1
"Larry Crowne ","Comedy|Drama|Romance","Tom Hanks","Tom Hanks","Rob Riggle","Randall Park","Color","bus stop|college|community college|scooter|speech class","English",2011,6.1
"The Replacement Killers ","Action|Crime|Thriller","Antoine Fuqua","Mira Sorvino","Clifton Collins Jr.","Patrick Kilpatrick","Color","forger|hitman|passport|police|replacement","English",1998,6.1
"Chasing Liberty ","Comedy|Romance","Andy Cadiff","Annabella Sciorra","Stark Sands","Terence Maynard","Color","first daughter|photographer|prague|president|secret service agent","English",2004,6.1
"Antitrust ","Action|Crime|Drama|Thriller","Peter Howitt","Tyler Labine","Richard Roundtree","Ned Bellamy","Color","boss|communications|computer|genius|job","English",2001,6.1
"30 Minutes or Less ","Action|Comedy|Crime","Ruben Fleischer","Bianca Kajlich","Dilshad Vadsaria","Fred Ward","Color","bank heist|bank robbery|heist gone wrong|pizza delivery boy|unlikely criminal","English",2011,6.1
"Our Brand Is Crisis ","Comedy|Drama","David Gordon Green","Dominic Flores","Zoe Kazan","Scoot McNairy","Color","bolivia|box office flop|inspired by documentary|presidential campaign|year 2002","English",2015,6.1
"Captain Alatriste: The Spanish Musketeer ","Adventure|Drama|History|Romance|Thriller|War","Agustín Díaz Yanes","Viggo Mortensen","Elena Anaya","Eduardo Noriega","Color","desire|fighting|king|spain|trap","Spanish",2006,6.1
"Freaky Friday ","Comedy|Family|Fantasy|Music|Romance","Mark Waters","Jamie Lee Curtis","Julie Gonzalo","Willie Garson","Color","body swap|camera shot of feet|foot closeup|reference to keith richards|reference to the rolling stones","English",2003,6.1
"Blood and Wine ","Crime|Drama|Thriller","Bob Rafelson","Harold Perrineau","Mike Starr","Judy Davis","Color","diamond|necklace|safecracker|wine|wine dealer","English",1996,6.1
"The Bodyguard ","Action|Drama|Music|Romance","Mick Jackson","Bill Cobbs","Mike Starr","DeVaughn Nixon","Color","bodyguard|manager|pop singer|secret service agent|singer","English",1992,6.1
"Parental Guidance ","Comedy|Family","Andy Fickman","Bailee Madison","Gedde Watanabe","Tom Everett Scott","Color","chores|father figure|helicopter parents|in laws|punishment","English",2012,6.1
"Romeo Must Die ","Action|Crime|Thriller","Andrzej Bartkowiak","Jet Li","Delroy Lindo","Aaliyah","Color","death|hong kong|kung fu|prison|waterfront","English",2000,6.1
"Money Talks ","Action|Comedy|Crime|Thriller","Brett Ratner","Heather Locklear","Paul Sorvino","Faizon Love","Color","blood splatter|fistfight|murder|police|prison bus","English",1997,6.1
"Lifeforce ","Action|Horror|Sci-Fi|Thriller","Tobe Hooper","Frank Finlay","Steve Railsback","Peter Firth","Color","alien|halleys comet|life force|space vampire|vampire","English",1985,6.1
"A Turtle's Tale: Sammy's Adventures ","Adventure|Animation|Family","Ben Stassen","Ed Begley Jr.","Jenny McCarthy","Stacy Keach","Color","apostrophe in title|character name in title|punctuation in title|sea turtle","English",2010,6.1
"On the Road ","Adventure|Drama","Walter Salles","Kristen Stewart","Viggo Mortensen","Kirsten Dunst","Color","benzedrine|cactus|drugs|poem|year 1949","English",2012,6.1
"Scream 2 ","Horror|Mystery","Wes Craven","Omar Epps","Jada Pinkett Smith","Kevin Williamson","Color","college|ghostface|killer|killing spree|murder","English",1997,6.1
"The Waterboy ","Comedy|Sport","Frank Coraci","Adam Sandler","Clint Howard","Peter Dante"," Black and White","coach|college|college football|domineering mother|football","English",1998,6.1
"Someone Like You... ","Comedy|Romance","Tony Goldwyn","Hugh Jackman","Ellen Barkin","Catherine Dent","Color","apartment|girl in panties|roommate|thong panties|upskirt","English",2001,6.1
"Anywhere But Here ","Comedy|Drama","Wayne Wang","Natalie Portman","Eva Amurri Martino","Shawn Hatosy","Color","family relationships|female protagonist|nubile woman|policeman|teenager","English",1999,6.1
"Chasing Liberty ","Comedy|Romance","Andy Cadiff","Annabella Sciorra","Stark Sands","Terence Maynard","Color","first daughter|photographer|prague|president|secret service agent","English",2004,6.1
"Hit and Run ","Action|Comedy|Romance","David Palmer","Bradley Cooper","Tom Arnold","Beau Bridges","Color","gay cop|getaway driver|masturbation|penis|witness protection","English",2012,6.1
"Swing Vote ","Comedy|Drama","Joshua Michael Stern","Madeline Carroll","Judge Reinhold","Nathan Lane","Color","ballot|election|new mexico|vote|voting","English",2008,6.1
"Lakeview Terrace ","Crime|Drama|Thriller","Neil LaBute","Jay Hernandez","Justin Chambers","Robert Pine","Color","interracial couple|lapd|male nudity|neighbor|nudity","English",2008,6.1
"Eye for an Eye ","Crime|Drama|Thriller","John Schlesinger","Joe Mantegna","Beverly D'Angelo","Philip Baker Hall","Color","justice|rape|self defense|support group|vigilante","English",1996,6.1
"Vampires ","Action|Horror|Thriller","John Carpenter","Sheryl Lee","Cary-Hiroyuki Tagawa","Maximilian Schell","Color","cross|relic|team|vampire|vampire hunter","English",1998,6.1
"Lockout ","Action|Adventure|Sci-Fi|Thriller","James Mather","Joseph Gilgun","Vincent Regan","Jacky Ido","Color","bodyguard|maximum security prison|outer space|president|prison","English",2012,6.1
"Undisputed ","Action|Crime|Drama|Sport","Walter Hill","Fisher Stevens","Wes Studi","Jon Seda"," Black and White","boxing|fight|heavyweight champion|iceman|prison","English",2002,6.1
"Three to Tango ","Comedy|Romance","Damon Santostefano","Matthew Perry","Oliver Platt","David Ramsey","Color","architect|award|farce|love|misunderstanding","English",1999,6.1
"Birth ","Drama|Mystery|Romance|Thriller","Jonathan Glazer","Cameron Bright","Anne Heche","Danny Huston","Color","birthday|boy|dead husband|death|widow","English",2004,6.1
"The Switch ","Comedy|Drama|Romance","Josh Gordon","Caroline Dhavernas","Scott Elrod","Kelli Barrett","Color","artificial insemination|best friend|new york city|sperm|sperm donor","English",2010,6.1
"My Big Fat Greek Wedding 2 ","Comedy|Family|Romance","Kirk Jones","Nia Vardalos","Louis Mandylor","Joey Fatone","Color","family restaurant|greek|remarriage|suburb|wedding","English",2016,6.1
"The Tailor of Panama ","Drama|Thriller","John Boorman","Daniel Radcliffe","Jamie Lee Curtis","Mark Margolis","Color","canal|panama|president|spy|tailor","English",2001,6.1
"Ben-Hur ","Adventure|Drama|History","Timur Bekmambetov","Morgan Freeman","Ayelet Zurer","Moises Arias","Color","chariot race|epic|false accusation|jerusalem|slave","English",2016,6.1
"Private Benjamin ","Comedy|War","Howard Zieff","Eileen Brennan","Albert Brooks","Alan Oppenheimer","Color","camera shot of feet|female stockinged feet|loss of husband|pantyhose|suntan pantyhose","English",1980,6.1
"The Wedding Date ","Comedy|Romance","Clare Kilner","Jack Davenport","Debra Messing","Holland Taylor","Color","chick flick|escort|male escort|wedding|wedding date","English",2005,6.1
"Knockaround Guys ","Crime|Drama|Thriller","Brian Koppelman","Vin Diesel","Tom Noonan","Kevin Gage","Color","mob|mobster|money|montana|sheriff","English",2001,6.1
"The Midnight Meat Train ","Fantasy|Horror|Mystery","Ryûhei Kitamura","Bradley Cooper","Brooke Shields","Leslie Bibb","Color","butcher|girlfriend|mute character|photographer|subway","English",2008,6.1
"Automata ","Action|Sci-Fi|Thriller","Gabe Ibáñez","Birgitte Hjort Sørensen","Robert Forster","Melanie Griffith","Color","child hitman|dystopia|future|robot|self repair","English",2014,6.1
"Save the Last Dance ","Drama|Music|Romance","Thomas Carter","Sean Patrick Thomas","Terry Kinney","Fredro Starr","Color","dance|dancing|ghetto|hip hop|imperative in title","English",2001,6.1
"About Last Night ","Comedy|Romance","Steve Pink","Joe Lo Truglio","Regina Hall","Bryan Callen","Color","bedroom|boyfriend girlfriend relationship|hug|interrupted sex|urban setting","English",2014,6.1
"Loaded Weapon 1 ","Action|Comedy|Crime","Gene Quintano","Jon Lovitz","Lin Shaye","Bill Nunn","Color","cookie|detective|microfilm|parody|sergeant","English",1993,6.1
"This Christmas ","Comedy|Drama|Romance","Preston A. Whitmore II","Mekhi Phifer","Chris Brown","Loretta Devine","Color","christmas|family home|musician|piano|secret","English",2007,6.1
"The Big Hit ","Action|Comedy|Crime|Thriller","Kirk Wong","Bokeem Woodbine","Elliott Gould","Antonio Sabato Jr.","Color","hitman|kidnapping|kosher|vhs|video store","English",1998,6.1
"Two Can Play That Game ","Comedy|Romance","Mark Brown","Mo'Nique","Vivica A. Fox","Tamala Jones","Color","advice|battle of the sexes|lingerie|romantic rivalry|rule","English",2001,6.1
"Dick ","Comedy","Andrew Fleming","Ryan Reynolds","Will Ferrell","Kirsten Dunst","Color","political cover up|political satire|teenage girl|white house|witness","English",1999,6.1
"Birthday Girl ","Comedy|Crime|Thriller","Jez Butterworth","Mark Gatiss","Mathieu Kassovitz","Ben Chaplin","Color","bank|bank clerk|birthday|mail order bride|russian","English",2001,6.1
"The Killer Inside Me ","Crime|Drama|Thriller","Michael Winterbottom","Liam Aiken","Ned Beatty","Jay R. Ferguson","Color","deputy|murder|revenge|sheriff|texas","English",2010,6.1
"Cat People ","Fantasy|Horror|Thriller","Paul Schrader","Ed Begley Jr.","Ruby Dee","John Heard","Color","cat|cat people|leopard|love|slip the undergarment","English",1982,6.1
"Space Battleship Yamato ","Action|Adventure|Drama|Sci-Fi","Takashi Yamazaki","Takuya Kimura","Meisa Kuroki","Hiroyuki Ikeuchi","Color","alien|battleship|message|radiation|yamato","Japanese",2010,6.1
"The Purge: Election Year ","Action|Horror|Sci-Fi|Thriller","James DeMonaco","Frank Grillo","Joseph Julian Soria","Mykelti Williamson","Color","cathedral|minister|presidential election|reference to george washington|ritual sacrifice","English",2016,6.1
"Jeepers Creepers ","Horror|Mystery","Victor Salva","Eileen Brennan","Patricia Belcher","Jonathan Breck","Color","demon|gore|record player|tattoo|wings","English",2001,6.1
"Insidious: Chapter 3 ","Fantasy|Horror|Thriller","Leigh Whannell","Lin Shaye","Hayley Kiyoko","Leigh Whannell","Color","demon|possession|psychic|supernatural|teenager","English",2015,6.1
"Wrong Turn ","Horror|Thriller","Rob Schmidt","Kevin Zegers","Lindy Booth","Julian Richings","Color","forest|mountain|road|stupid victim|west virginia","English",2003,6.1
"The Collection ","Action|Horror|Thriller","Marcus Dunstan","Daniel Sharman","Johanna Braddy","Lee Tergesen","Color","booby trap|brainwashing|mercenary|serial killer|trap","English",2012,6.1
"The Oxford Murders ","Crime|Mystery|Thriller","Álex de la Iglesia","Jim Carter","Leonor Watling","Danny Sapani","Color","landlady|lecture|murder|oxford university|symbol","English",2008,6.1
"Next Friday ","Comedy","Steve Carr","John Witherspoon","Mike Epps","Rolando Molina","Color","african american|flashback|marijuana joint|porn magazine|suburb","English",2000,6.1
"Gentlemen Broncos ","Adventure|Comedy|Sci-Fi","Jared Hess","Jizelle Jade","Michael Angarano","Héctor Jiménez","Color","amateur film|sexual harassment|sexual innuendo|small town|struggling parent","English",2009,6.1
"Two Evil Eyes ","Horror","Dario Argento","John Amos","Adrienne Barbeau","Sally Kirkland","Color","black cat|cat|evil|photographer|undead","English",1990,6.1
"Barbecue ","Comedy","Eric Lavaine","Lambert Wilson","Julie Engelbrecht","Lionel Abelanski","Color","","French",2014,6.1
"Heist ","Action|Crime|Thriller","Scott Mann","Robert De Niro","Joshua Mikel","D.B. Sweeney","Color","bus|die hard scenario","English",2015,6.1
"The I Inside ","Mystery|Sci-Fi|Thriller","Roland Suso Richter","Stephen Graham","Sarah Polley","Stephen Rea","Color","2000s|hospital|man in a wheelchair|year 2000|year 2002","English",2004,6.1
"That Awkward Moment ","Comedy|Romance","Tom Gormican","Mackenzie Davis","Lola Glaudini","Josh Pais","Color","dating|divorce|father daughter relationship|mother daughter relationship|party","English",2014,6.1
"Flashdance ","Drama|Music|Romance","Adrian Lyne","Michael Nouri","Cynthia Rhodes","Lee Ving","Color","ballet school|dance|dancer|overalls|steel worker","English",1983,6.1
"Magic Mike ","Comedy|Drama","Steven Soderbergh","Channing Tatum","Alex Pettyfer","Matthew McConaughey","Color","bank|male nudity|male objectification|male stripper|stripper","English",2012,6.1
"In Too Deep ","Crime|Drama|Thriller","Michael Rymer","LL Cool J","Omar Epps","Nia Long","Color","cunnilingus|oral sex|police|sex scene|undercover","English",1999,6.1
"Tales from the Hood ","Comedy|Horror|Thriller","Rusty Cundieff","Corbin Bernsen","Clarence Williams III","David Alan Grier","Color","child abuse|death|drugs|ku klux klan|police brutality","English",1995,6.1
